frames_Epsilon,AvgRewardEpsilon(10),StdRewardEpsilon(10)
2234,-225.9584160516727,110.99701879009203
6636,-237.3734993102947,183.37375505894732
14826,-127.44070232504266,37.92501942215829
24826,-113.77427540273445,24.94547200696213
30482,-227.00832534748233,63.98465492701975
37334,-207.53946238516193,65.61255328216417
44721,-154.575408705836,44.64464533389301
53206,-182.69090795927065,60.54590381040313
62598,-154.91230066990667,33.54511451390088
71046,-227.42237304808455,146.9650126353818
76401,-113.3311645062219,52.434339685696635
79327,-110.4677845972446,58.589206086185804
82217,-146.96238461417278,54.76428004996211
84977,-118.37215040894235,88.79998320717819
89642,-163.91914779527758,75.60605328232832
93420,-96.00515854182474,101.24409096142688
101362,-97.26726306477518,73.39077396116016
110887,-89.57958030285653,45.1939246485094
120039,-87.92252818975588,21.27530334132755
128291,-63.287920469976754,12.143471995503154
137360,-65.93947101324052,20.285215166711602
145994,-60.160857905288836,98.62117325774095
154433,-66.54713567002742,18.52997043020392
164433,-61.97827236226469,32.13080050954694
173114,-78.43782649465982,42.24783401759073
182669,-38.21624294393182,59.65113481129118
190819,-28.511022365136796,81.11018673792309
199927,-52.33750678297747,18.25982520767819
209927,-41.506234416450155,19.1359754157012
219335,-38.65022785594289,27.049175057652167
227823,2.172119171498042,96.19210967283871
236939,-21.939004534498586,24.89376660406684
245641,36.92488230890136,74.98461832329275
252473,205.53800090861873,32.83676787321339
257649,76.45659750357673,185.69419610442398
264250,194.191440826626,23.75879364002571
271745,40.225272111755054,142.01532671447413
277436,143.59921908660516,115.7898093044581
283338,123.67980585064534,129.00766672775387
288505,28.56896037401135,115.8281766587852
295554,-31.30113044506756,68.8842606747289
301048,21.390195461366197,122.2736094549676
305862,110.31946196920372,117.63442667791594
309342,37.846776861301805,119.11766282173471
312563,34.05458855520254,102.76120010458885
315009,116.1556897926738,161.76206268590008
322725,79.97631769851843,116.15010079397949
330532,16.281097324826348,67.00327023128224
337142,-17.039543901748367,25.310319271127423
340426,-154.4640430808392,224.08918004144164
343243,-64.62346658502962,253.23805746633653
346931,-27.005131660692278,125.20318284329015
350322,-28.617066928827285,203.9528987215229
353253,63.762293593700704,119.56871266764684
356683,8.298800474383636,164.95112156656165
362285,-67.93570555268853,129.7058976383053
367472,20.19529776596293,167.29276245829226
368962,-162.77572488970804,82.89461976180604
373705,-99.70198487667442,163.92495458229988
377981,24.59367935187342,173.65061796730163
383757,22.055675461145604,186.5615496833288
389361,181.02659794178084,89.09018610036857
394640,83.57765192907829,160.31052193195083
398431,248.83296215286578,29.267495463621913
402209,206.8789415637501,76.85202250345138
405476,223.92992639222766,83.5631632258013
409924,195.33309203649864,97.86580981781863
414010,189.96268107567607,129.81314880236576
417816,204.1346148135061,100.35222835593703
421850,135.66034362224516,168.9192525519398
425756,154.13201207423268,128.40133397633582
429612,144.0074993510533,102.38794989149004
432425,70.66246172410531,119.62253913776702
434814,119.96022858973102,141.10729822710002
436405,8.446395912927592,82.63861793901019
439262,33.06807164071907,120.59003180246353
443241,19.7929221484469,118.1206981647283
448555,91.2261601108542,169.53493776501747
454610,24.85547139147574,156.09827735432646
460483,-164.54822871022049,283.66485427728935
466891,-75.68566911818971,193.01656993465937
471862,52.1796023057539,137.4738631223888
477994,-76.52315415225742,111.72587432952358
484830,-19.546295534513426,191.88778186712076
488831,-55.75517227790581,134.28494671777136
494716,9.218091948782332,149.74942514224327
501240,-84.59256533318009,137.91854083032212
506388,82.49933635152283,164.8311450096386
510274,16.201347626010367,156.2933931634696
513357,-54.36735085007293,142.21930848845383
517643,150.30625699837384,107.16552008259258
519968,135.12449478709317,154.7255469384152
522028,78.63064926673857,119.1534426992714
524517,146.40705728479242,141.8670966399051
529098,158.60070553698228,136.54096538357015
531740,148.35782783196225,148.39613792591734
535893,179.54711849693405,177.66841708127845
538725,149.4449327821838,192.84238242232374
542569,161.64928975575748,132.41320552325357
545788,169.78466923568124,193.145437282982
548604,191.86075598673514,127.33735328357335
552010,144.20064913164254,166.29315076354555
555664,177.30441529440486,186.73540099129434
559312,150.78876529951972,200.15559024760952
563757,40.06747600328066,233.6993369360387
567568,233.63367128279143,83.01765120072199
571390,155.3599992005016,195.8841153895863
575992,204.9846753080652,93.06148626890113
578615,248.08173175757923,87.17547318939947
581200,249.08254241205069,63.05218344063526
585060,229.3986815994903,84.49280086076529
587399,257.05639801691177,69.52007288511923
589880,229.77181543257294,78.74278252587554
592779,253.84221276130756,28.437357437369958
595611,270.8169151150607,14.239034559535312
598630,262.26102162734014,13.249856123901822
602370,165.49258874960282,203.7380774560591
605196,271.870775776207,17.966285614603205
608580,191.17011555601957,126.14409498274136
611839,77.21427506158643,159.78196828028757
614821,134.263009132717,161.5581134850039
617581,175.37259083793532,130.85921052934972
620970,225.8462795791037,108.3187411043746
624221,247.63203970227013,26.999943484498502
628109,162.49398184705746,132.3324734901697
630922,224.15642036404157,74.05646957223647
634467,247.8706267876923,23.822942334180777
637356,258.8752570839592,26.071935519448264
640345,263.8058015850479,16.062453846504393
643287,257.45692248358387,32.325218886902256
645939,272.97944792515756,18.52776642686378
648735,201.80596485775413,199.8060391147389
651354,214.90737469959117,108.86163543459436
653848,235.1111471885587,70.42313974773106
656255,238.58381033505597,68.96311316552178
659303,243.4264658728086,84.18150660081037
662060,261.9140693213872,17.331850275875876
665462,271.28553348136546,24.260018105975185
668155,209.38950747818612,121.20423010409432
671005,210.07533734014,116.7162869179708
674048,260.4529264638323,15.964902327955901
678008,184.78053953698893,140.0023399362631
680766,240.37413238614553,96.61274944477361
684627,172.96843681036972,138.9938772417789
689142,208.35221400487998,92.66230101068379
693288,218.17679163091603,83.28582882391062
697558,232.12896752534385,64.79410164127998
702412,202.17411542076485,87.80536063832552
706543,215.7846483575713,63.68468136682672
710708,120.36883483491059,202.9724698285109
717624,62.31199843538436,163.29837816925595
723292,154.1906158584461,91.3551046902703
729042,190.02978120078123,64.19155071557005
734784,142.98244076793145,114.94969470290815
740151,164.86438491515776,74.18260896994168
745600,121.51042502556504,230.4321529282117
748866,250.05314844579047,26.137895999010556
752574,257.0441779776834,23.78912664976469
756264,243.32939374667635,29.13212406495299
758896,211.04626395394402,170.87284081718462
761643,256.8666570331648,15.5821629489448
764832,218.8817095576701,113.64319063547228
767202,272.44461515028814,16.468339900766935
770346,272.9255204354112,7.267644499117118
772964,237.3090812148017,78.33704205722435
776683,217.98274224856905,82.9332928587875
780846,223.4868250464161,61.676205189616816
783728,21.571899112129596,290.683338460469
787694,210.73417064749628,123.12470498617066
791012,161.61767037754436,161.44588574757503
795190,221.02017724118906,60.395277832610965
798041,201.66198095608894,76.74376438379319
